can_close_early,close_time,created_time,early_close_condition,event_ticker,expected_expiration_time,expiration_time,expiration_value,floor_strike,fractional_trading_enabled,last_price_dollars,latest_expiration_time,liquidity_dollars,market_type,no_ask_dollars,no_bid_dollars,no_sub_title,notional_value_dollars,open_interest_fp,open_time,previous_price_dollars,previous_yes_ask_dollars,previous_yes_bid_dollars,price_level_structure,price_ranges,response_price_units,result,rules_primary,rules_secondary,settlement_timer_seconds,status,strike_type,tick_size,ticker,title,updated_time,volume_24h_fp,volume_fp,yes_ask_dollars,yes_ask_size_fp,yes_bid_dollars,yes_bid_size_fp,yes_sub_title,cap_strike,settlement_ts,settlement_value_dollars,category,parent_series,LINK,main_title,contract_terms_url,contract_url
True,2027-01-01T15:00:00Z,2025-10-09T18:41:45.136062Z,This market will close and expire early if the event occurs.,KXNEWROLECEOAPPLE-27JAN,2027-01-01T15:00:00Z,2027-01-01T15:00:00Z,,,False,0.08,2027-01-01T15:00:00Z,0,binary,0.99,0.92,Zongjian Chen,1,153,2025-10-10T14:00:00Z,0.08,0.08,0.01,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If Zongjian Chen is confirmed as CEO for Apple Inc. before Jan 1, 2027, then the market resolves to Yes.",,1800,active,,1,KXNEWROLECEOAPPLE-27JAN-CHEN,Who will be the next CEO of Apple Inc.?,2026-02-19T08:48:16.628714Z,0,186,0.08,500,0.01,44,Zongjian Chen,,,,Companies,KXNEWROLECEOAPPLE,https://kalshi.com/markets/kxnewroleceoapple/next-apple-ceo/kxnewroleceoapple-27jan,Next Apple CEO,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/NEWROLE.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/NEWROLE.pdf
True,2025-07-27T14:00:00Z,2025-07-25T09:00:27.112975Z,,KXAPPRANKFREE3-25JUL27,2025-07-27T14:00:00Z,2025-07-27T14:00:00Z,,,False,0.0,2025-07-27T14:00:00Z,0,binary,1.0,0.0,Threads,1,0,2025-07-25T14:00:00Z,0.0,1.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If Threads is the #3 ranked app on the United States Top Free Apps chart on Jul 27, 2025 at 10:00 AM ET, then the market resolves to Yes.",,3600,closed,custom,1,KXAPPRANKFREE3-25JUL27-THR,"Runner-up US iPhone app on Jul 27, 2025?",2026-02-19T08:48:16.628714Z,0,0,1.0,0,0.0,0,Threads,,,,Entertainment,KXAPPRANKFREE3,https://kalshi.com/markets/kxapprankfree3/free-app-ranking/kxapprankfree3-25jul27,Free app ranking,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/APPRANK.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/APPRANK.pdf
True,2025-07-27T14:00:00Z,2025-07-25T09:00:27.112975Z,,KXAPPRANKFREE3-25JUL27,2025-07-27T14:00:00Z,2025-07-27T14:00:00Z,,,False,0.0,2025-07-27T14:00:00Z,0,binary,1.0,0.0,Google Maps,1,0,2025-07-25T14:00:00Z,0.0,1.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If Google Maps is the #3 ranked app on the United States Top Free Apps chart on Jul 27, 2025 at 10:00 AM ET, then the market resolves to Yes.",,3600,closed,custom,1,KXAPPRANKFREE3-25JUL27-GOOG,"Runner-up US iPhone app on Jul 27, 2025?",2026-02-19T08:48:16.628714Z,0,0,1.0,0,0.0,0,Google Maps,,,,Entertainment,KXAPPRANKFREE3,https://kalshi.com/markets/kxapprankfree3/free-app-ranking/kxapprankfree3-25jul27,Free app ranking,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/APPRANK.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/APPRANK.pdf
True,2025-07-27T14:00:00Z,2025-07-25T09:00:27.112975Z,,KXAPPRANKFREE3-25JUL27,2025-07-27T14:00:00Z,2025-07-27T14:00:00Z,,,False,0.0,2025-07-27T14:00:00Z,0,binary,1.0,0.0,Google,1,0,2025-07-25T14:00:00Z,0.0,1.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If Google is the #3 ranked app on the United States Top Free Apps chart on Jul 27, 2025 at 10:00 AM ET, then the market resolves to Yes.",,3600,closed,custom,1,KXAPPRANKFREE3-25JUL27-GOO,"Runner-up US iPhone app on Jul 27, 2025?",2026-02-19T08:48:16.628714Z,0,0,1.0,0,0.0,0,Google,,,,Entertainment,KXAPPRANKFREE3,https://kalshi.com/markets/kxapprankfree3/free-app-ranking/kxapprankfree3-25jul27,Free app ranking,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/APPRANK.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/APPRANK.pdf
True,2025-07-27T14:00:00Z,2025-07-25T09:00:27.112975Z,,KXAPPRANKFREE3-25JUL27,2025-07-27T14:00:00Z,2025-07-27T14:00:00Z,,,False,0.0,2025-07-27T14:00:00Z,0,binary,1.0,0.0,ChatGPT,1,0,2025-07-25T14:00:00Z,0.0,1.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If ChatGPT is the #3 ranked app on the United States Top Free Apps chart on Jul 27, 2025 at 10:00 AM ET, then the market resolves to Yes.",,3600,closed,custom,1,KXAPPRANKFREE3-25JUL27-CHA,"Runner-up US iPhone app on Jul 27, 2025?",2026-02-19T08:48:16.628714Z,0,0,1.0,0,0.0,0,ChatGPT,,,,Entertainment,KXAPPRANKFREE3,https://kalshi.com/markets/kxapprankfree3/free-app-ranking/kxapprankfree3-25jul27,Free app ranking,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/APPRANK.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/APPRANK.pdf
True,2025-07-27T14:00:00Z,2025-07-25T09:00:27.112974Z,,KXAPPRANKFREE3-25JUL27,2025-07-27T14:00:00Z,2025-07-27T14:00:00Z,,,False,0.0,2025-07-27T14:00:00Z,0,binary,1.0,0.0,Tea Dating Advice,1,0,2025-07-25T14:00:00Z,0.0,1.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If Tea Dating Advice is the #3 ranked app on the United States Top Free Apps chart on Jul 27, 2025 at 10:00 AM ET, then the market resolves to Yes.",,3600,closed,custom,1,KXAPPRANKFREE3-25JUL27-TEA,"Runner-up US iPhone app on Jul 27, 2025?",2026-02-19T08:48:16.628714Z,0,0,1.0,0,0.0,0,Tea Dating Advice,,,,Entertainment,KXAPPRANKFREE3,https://kalshi.com/markets/kxapprankfree3/free-app-ranking/kxapprankfree3-25jul27,Free app ranking,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/APPRANK.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/APPRANK.pdf
True,2025-12-31T15:00:00Z,2025-04-03T18:20:27.84948Z,,KXWEALTHY-25,2025-12-31T15:00:00Z,2026-12-31T15:00:00Z,No,,False,0.01,2026-12-31T15:00:00Z,0,binary,1.0,0.0,Warren Buffett,1,19938,2025-04-03T18:31:06Z,0.01,1.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If Warren Buffett is the wealthiest person in the world on Dec 31, 2025, then the market resolves to Yes.",,3600,finalized,custom,1,KXWEALTHY-25-WB,Wealthiest person in the world at year-end?,2026-02-19T08:48:16.628714Z,0,22653,1.0,0,0.0,0,Warren Buffett,,2026-01-01T00:43:26.598097Z,0.0,Economics,KXWEALTHY,https://kalshi.com/markets/kxwealthy/wealthiest-person-in-world/kxwealthy-25,Wealthiest person in world,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/WEALTHY.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/WEALTHY.pdf
True,2025-12-31T15:00:00Z,2024-11-05T14:38:27.252301Z,,KXWEALTHY-25,2025-12-31T15:00:00Z,2026-12-31T15:00:00Z,No,,False,0.01,2026-12-31T15:00:00Z,0,binary,1.0,0.0,Mark Zuckerberg,1,38762,2024-11-05T15:00:00Z,0.01,1.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If Mark Zuckerberg is the wealthiest person in the world on Dec 31, 2025, then the market resolves to Yes.",,3600,finalized,custom,1,KXWEALTHY-25-MZ,Wealthiest person in the world at year-end?,2026-02-19T08:48:16.628714Z,0,55805,1.0,0,0.0,0,Mark Zuckerberg,,2026-01-01T00:43:06.586669Z,0.0,Economics,KXWEALTHY,https://kalshi.com/markets/kxwealthy/wealthiest-person-in-world/kxwealthy-25,Wealthiest person in world,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/WEALTHY.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/WEALTHY.pdf
True,2025-12-31T15:00:00Z,2024-11-05T14:38:27.252301Z,,KXWEALTHY-25,2025-12-31T15:00:00Z,2026-12-31T15:00:00Z,No,,False,0.01,2026-12-31T15:00:00Z,0,binary,1.0,0.0,Larry Ellison,1,157504,2024-11-05T15:00:00Z,0.01,1.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If Larry Ellison is the wealthiest person in the world on Dec 31, 2025, then the market resolves to Yes.",,3600,finalized,custom,1,KXWEALTHY-25-LE,Wealthiest person in the world at year-end?,2026-02-19T08:48:16.628714Z,0,374870,1.0,0,0.0,0,Larry Ellison,,2026-01-01T00:43:06.597326Z,0.0,Economics,KXWEALTHY,https://kalshi.com/markets/kxwealthy/wealthiest-person-in-world/kxwealthy-25,Wealthiest person in world,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/WEALTHY.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/WEALTHY.pdf
True,2025-12-31T15:00:00Z,2024-11-05T14:38:27.252301Z,,KXWEALTHY-25,2025-12-31T15:00:00Z,2026-12-31T15:00:00Z,No,,False,0.01,2026-12-31T15:00:00Z,0,binary,1.0,0.0,Jensen Huang,1,27191,2024-11-05T15:00:00Z,0.01,1.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If Jensen Huang is the wealthiest person in the world on Dec 31, 2025, then the market resolves to Yes.",,3600,finalized,custom,1,KXWEALTHY-25-JH,Wealthiest person in the world at year-end?,2026-02-19T08:48:16.628714Z,0,35435,1.0,0,0.0,0,Jensen Huang,,2026-01-01T00:43:16.334814Z,0.0,Economics,KXWEALTHY,https://kalshi.com/markets/kxwealthy/wealthiest-person-in-world/kxwealthy-25,Wealthiest person in world,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/WEALTHY.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/WEALTHY.pdf
True,2025-12-31T15:00:00Z,2024-11-05T14:38:27.252301Z,,KXWEALTHY-25,2025-12-31T15:00:00Z,2026-12-31T15:00:00Z,No,,False,0.01,2026-12-31T15:00:00Z,0,binary,1.0,0.0,Jeff Bezos,1,125558,2024-11-05T15:00:00Z,0.01,1.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If Jeff Bezos is the wealthiest person in the world on Dec 31, 2025, then the market resolves to Yes.",,3600,finalized,custom,1,KXWEALTHY-25-JB,Wealthiest person in the world at year-end?,2026-02-19T08:48:16.628714Z,0,195550,1.0,0,0.0,0,Jeff Bezos,,2026-01-01T00:42:56.410766Z,0.0,Economics,KXWEALTHY,https://kalshi.com/markets/kxwealthy/wealthiest-person-in-world/kxwealthy-25,Wealthiest person in world,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/WEALTHY.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/WEALTHY.pdf
True,2025-12-31T15:00:00Z,2024-11-05T14:38:27.252301Z,,KXWEALTHY-25,2025-12-31T15:00:00Z,2026-12-31T15:00:00Z,Yes,,False,0.99,2026-12-31T15:00:00Z,0,binary,1.0,0.0,Elon Musk,1,77823,2024-11-05T15:00:00Z,0.99,1.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,yes,"If Elon Musk is the wealthiest person in the world on Dec 31, 2025, then the market resolves to Yes.",,3600,finalized,custom,1,KXWEALTHY-25-EM,Wealthiest person in the world at year-end?,2026-02-19T08:48:16.628714Z,0,344517,1.0,0,0.0,0,Elon Musk,,2026-01-01T00:42:36.413911Z,1.0,Economics,KXWEALTHY,https://kalshi.com/markets/kxwealthy/wealthiest-person-in-world/kxwealthy-25,Wealthiest person in world,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/WEALTHY.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/WEALTHY.pdf
